Year,Team,RA/G,ERA,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,WS_Winner
1893,PHI,6.32,4.68,107,4,2,1189.0,1357,841,618,30,522,286,1.58,2.16,0.23,318,121,0.944,25.0,No
1892,PHI,4.45,2.93,131,10,5,1379.0,1309,690,449,24,492,511,1.306,3.34,0.16,393,128,0.939,25.8,No
1891,PHI,5.6,3.73,105,3,5,1229.1,1279,773,510,30,507,342,1.453,2.5,0.22,443,108,0.925,24.3,No
1890,PHI,5.32,3.32,122,9,2,1194.2,1210,707,441,22,486,507,1.42,3.82,0.17,398,122,0.929,23.7,No
1889,PHI,5.75,4.0,106,4,2,1153.1,1288,748,513,33,428,443,1.488,3.46,0.26,466,92,0.915,25.2,No
1888,PHI,3.86,2.38,125,16,3,1167.0,1072,509,309,26,196,519,1.087,4.0,0.2,424,70,0.923,24.8,No
1887,PHI,5.48,3.47,119,7,1,1132.2,1173,702,437,48,305,435,1.305,3.46,0.38,471,76,0.912,24.4,No
1886,PHI,4.18,2.45,110,10,2,1045.2,923,498,285,29,264,540,1.135,4.65,0.25,393,46,0.921,22.8,No
1885,PHI,4.6,2.39,108,10,0,976.0,860,511,259,18,218,378,1.105,3.49,0.17,447,66,0.905,22.3,No
1884,PHI,7.29,3.93,106,3,1,981.0,1090,824,428,37,254,411,1.37,3.77,0.34,536,67,0.888,20.9,No
1883,PHI,8.96,5.34,91,3,0,864.2,1267,887,513,20,125,253,1.61,2.63,0.21,639,62,0.858,21.3,No
2023,PIT,4.88,4.6,2,10,47,1430.0,1380,790,731,179,596,1363,1.382,8.58,1.13,91,135,0.984,27.6,No
2022,PIT,5.04,4.66,0,6,33,1421.0,1432,817,735,164,586,1250,1.42,7.92,1.04,121,152,0.979,27.3,No
2021,PIT,5.14,5.08,0,6,25,1396.1,1400,833,788,213,606,1312,1.437,8.46,1.37,70,139,0.988,27.4,No
2019,PIT,5.62,5.18,1,6,31,1440.0,1511,911,829,241,584,1443,1.455,9.02,1.51,121,130,0.98,27.2,No
2018,PIT,4.3,4.0,3,16,40,1434.0,1380,693,637,174,497,1336,1.309,8.38,1.09,105,129,0.982,26.5,No
2017,PIT,4.51,4.22,2,12,36,1440.2,1464,731,676,182,511,1262,1.371,7.88,1.14,99,156,0.984,27.1,No
2016,PIT,4.68,4.21,5,5,51,1450.2,1490,758,679,180,533,1232,1.395,7.64,1.12,111,172,0.982,28.6,No
2015,PIT,3.68,3.21,0,13,54,1489.2,1392,596,532,110,453,1338,1.239,8.08,0.66,122,177,0.981,29.6,No
2014,PIT,3.9,3.47,2,7,48,1456.1,1341,631,562,128,499,1228,1.263,7.59,0.79,109,148,0.983,28.1,No
2013,PIT,3.56,3.26,3,16,55,1470.2,1299,577,533,101,515,1261,1.233,7.72,0.62,106,154,0.984,28.7,No
2012,PIT,4.16,3.86,2,10,45,1433.1,1357,674,615,153,490,1192,1.289,7.48,0.96,112,126,0.982,30.2,No
2011,PIT,4.4,4.04,5,11,43,1449.1,1513,712,650,152,535,1031,1.413,6.4,0.94,112,154,0.982,28.1,No
2010,PIT,5.35,5.0,1,6,31,1411.2,1567,866,784,167,538,1026,1.491,6.54,1.06,127,120,0.979,28.6,No
2009,PIT,4.77,4.59,5,7,28,1418.1,1491,768,723,152,563,919,1.448,5.83,0.96,73,171,0.988,26.3,No
2008,PIT,5.46,5.08,3,7,34,1455.0,1631,884,822,176,657,963,1.573,5.96,1.09,107,179,0.983,26.5,No
2007,PIT,5.22,4.93,4,5,32,1447.2,1627,846,793,174,518,997,1.482,6.2,1.08,83,190,0.986,27.1,No
2006,PIT,4.92,4.52,2,10,39,1435.0,1545,797,720,156,620,1060,1.509,6.65,0.98,104,168,0.983,27.0,No
2005,PIT,4.75,4.42,4,14,35,1436.0,1456,769,706,162,612,958,1.44,6.0,1.02,117,193,0.981,28.7,No
2004,PIT,4.62,4.29,3,8,46,1428.0,1451,744,680,149,576,1079,1.419,6.8,0.94,103,189,0.983,27.7,No
2003,PIT,4.94,4.64,7,10,44,1444.1,1527,801,744,178,502,926,1.405,5.77,1.11,123,159,0.98,28.3,No
2002,PIT,4.53,4.23,2,7,47,1412.2,1447,730,664,163,572,920,1.429,5.86,1.04,115,177,0.982,28.1,No
2001,PIT,5.3,5.05,8,9,36,1416.1,1493,858,794,167,549,908,1.442,5.77,1.06,133,168,0.978,28.1,No
2000,PIT,5.48,4.94,5,7,27,1449.0,1554,888,795,163,711,1070,1.563,6.65,1.01,132,169,0.979,27.1,No
1999,PIT,4.86,4.33,8,3,34,1433.1,1444,782,689,160,633,1083,1.449,6.8,1.0,147,179,0.976,26.8,No
1998,PIT,4.4,3.91,7,10,41,1449.0,1433,718,629,147,530,1112,1.355,6.91,0.91,140,161,0.977,26.5,No
1997,PIT,4.69,4.28,6,8,41,1436.0,1503,760,683,143,560,1080,1.437,6.77,0.9,131,149,0.979,25.7,No
1996,PIT,5.14,4.61,5,7,37,1453.1,1602,833,744,183,479,1044,1.432,6.47,1.13,128,144,0.98,27.9,No
1995,PIT,5.11,4.7,11,7,29,1275.1,1407,736,666,130,477,871,1.477,6.15,0.92,122,138,0.978,26.4,No
1994,PIT,5.09,4.64,8,2,24,1005.2,1094,580,518,117,370,650,1.456,5.82,1.05,91,131,0.98,27.2,No
1993,PIT,4.98,4.77,12,5,34,1445.2,1557,806,766,153,485,832,1.412,5.18,0.95,105,161,0.983,27.6,No
1992,PIT,3.67,3.35,20,20,43,1479.2,1410,595,551,101,455,844,1.26,5.13,0.61,101,144,0.984,29.2,No
1991,PIT,3.9,3.44,18,11,51,1456.2,1411,632,557,117,401,919,1.244,5.68,0.72,120,134,0.981,28.4,No
1990,PIT,3.82,3.4,18,8,43,1447.0,1367,619,546,135,413,848,1.23,5.27,0.84,134,125,0.979,28.9,No
1989,PIT,4.15,3.64,20,9,40,1487.2,1394,680,602,121,539,827,1.299,5.0,0.73,160,130,0.975,28.1,No
1988,PIT,3.85,3.47,12,11,46,1440.2,1349,616,555,108,469,790,1.262,4.94,0.67,125,128,0.98,26.2,No
1987,PIT,4.59,4.2,25,13,39,1445.0,1377,744,674,164,562,914,1.342,5.69,1.02,123,147,0.98,26.5,No
1986,PIT,4.32,3.9,17,9,30,1450.2,1397,700,629,138,570,924,1.356,5.73,0.86,143,134,0.978,28.5,No
1985,PIT,4.4,3.97,15,6,29,1445.1,1406,708,638,107,584,962,1.377,5.99,0.67,133,127,0.979,28.5,No
1984,PIT,3.5,3.11,27,13,34,1470.0,1344,567,508,102,502,995,1.256,6.09,0.62,128,142,0.98,28.9,No
1983,PIT,4.0,3.55,25,14,41,1462.1,1378,648,577,109,563,1061,1.327,6.53,0.67,115,165,0.982,28.5,No
1982,PIT,4.3,3.81,19,7,39,1466.2,1434,696,621,118,521,933,1.333,5.73,0.72,145,133,0.977,28.4,No
1981,PIT,4.13,3.56,11,5,29,942.0,953,425,373,60,346,492,1.379,4.7,0.57,86,106,0.979,29.9,No
1980,PIT,3.99,3.58,25,8,43,1458.1,1422,646,580,110,451,832,1.284,5.13,0.68,137,154,0.978,29.9,No
1979,PIT,3.94,3.41,24,7,52,1493.1,1424,643,566,125,504,904,1.291,5.45,0.75,134,163,0.979,29.7,Yes
1978,PIT,3.96,3.41,30,13,44,1444.2,1366,637,548,103,499,880,1.291,5.48,0.64,167,133,0.973,28.3,No
1977,PIT,4.1,3.61,25,15,39,1481.2,1406,665,594,149,485,890,1.276,5.41,0.91,145,137,0.977,27.3,No
1976,PIT,3.89,3.36,45,12,35,1466.1,1402,630,548,95,460,762,1.27,4.68,0.58,163,142,0.975,27.6,No
1975,PIT,3.51,3.01,43,14,31,1437.1,1302,565,480,79,551,768,1.289,4.81,0.49,151,147,0.976,27.8,No
1974,PIT,4.06,3.49,51,9,17,1466.0,1428,657,568,93,543,721,1.344,4.43,0.57,162,154,0.975,27.7,No
1973,PIT,4.28,3.73,26,11,44,1450.2,1426,693,602,110,564,839,1.372,5.21,0.68,151,156,0.976,28.8,No
1972,PIT,3.3,2.81,39,15,48,1414.1,1282,512,441,90,433,838,1.213,5.33,0.57,136,171,0.978,27.9,No
1971,PIT,3.7,3.31,43,15,48,1461.0,1426,599,537,108,470,813,1.298,5.01,0.67,133,164,0.979,27.7,Yes
1970,PIT,4.1,3.7,36,13,43,1453.2,1386,664,597,106,625,990,1.383,6.13,0.66,137,195,0.979,27.9,No
1969,PIT,4.02,3.61,39,9,33,1445.2,1348,652,580,96,553,1124,1.315,7.0,0.6,155,169,0.975,28.2,No
1968,PIT,3.26,2.74,42,19,30,1487.0,1322,532,453,73,485,897,1.215,5.43,0.44,139,162,0.979,29.4,No
1967,PIT,4.25,3.74,35,5,35,1458.1,1439,693,606,108,561,820,1.371,5.06,0.67,141,186,0.978,29.1,No
1966,PIT,3.96,3.52,35,12,43,1463.1,1445,641,573,125,463,898,1.304,5.52,0.77,141,215,0.978,29.1,No
1965,PIT,3.56,3.01,49,17,27,1479.0,1324,580,495,89,469,882,1.212,5.37,0.54,152,189,0.977,29.6,No
1964,PIT,3.93,3.52,42,14,28,1443.2,1429,636,565,92,476,951,1.32,5.93,0.57,177,179,0.972,28.8,No
1963,PIT,3.67,3.1,34,16,33,1448.0,1350,595,498,99,457,900,1.248,5.59,0.62,182,195,0.972,28.7,No
1962,PIT,3.89,3.37,40,13,41,1432.1,1433,626,537,118,466,897,1.326,5.64,0.74,152,177,0.976,30.5,No
1961,PIT,4.38,3.92,34,9,29,1362.0,1442,675,593,121,400,759,1.352,5.02,0.8,150,187,0.975,30.2,No
1960,PIT,3.83,3.49,47,11,33,1399.2,1363,593,543,105,386,811,1.25,5.21,0.68,128,163,0.979,29.6,Yes
1959,PIT,4.39,3.9,48,7,17,1393.1,1432,680,604,134,418,730,1.328,4.72,0.87,154,165,0.975,28.8,No
1958,PIT,3.94,3.56,43,10,41,1367.0,1344,607,541,123,470,679,1.327,4.47,0.81,133,173,0.978,27.1,No
1957,PIT,4.49,3.88,47,9,15,1395.0,1463,696,601,158,421,663,1.351,4.28,1.02,170,143,0.972,26.4,No
1956,PIT,4.16,3.74,37,8,21,1376.1,1406,653,572,142,469,662,1.362,4.33,0.93,162,140,0.973,26.8,No
1955,PIT,4.98,4.39,41,5,14,1362.0,1480,767,665,142,536,622,1.48,4.11,0.94,166,175,0.972,26.8,No
1954,PIT,5.49,4.92,37,4,15,1346.0,1510,845,736,128,564,525,1.541,3.51,0.86,173,136,0.971,27.3,No
1953,PIT,5.76,5.22,49,4,10,1358.0,1529,887,788,168,577,607,1.551,4.02,1.11,163,139,0.973,28.6,No
1952,PIT,5.12,4.65,43,5,8,1363.2,1395,793,704,132,615,564,1.474,3.72,0.87,182,167,0.97,27.8,No
1951,PIT,5.45,4.79,40,9,22,1380.1,1479,845,735,157,609,580,1.513,3.78,1.02,170,178,0.972,28.9,No
1950,PIT,5.56,4.96,42,6,16,1368.2,1472,857,754,152,616,556,1.526,3.66,1.0,136,165,0.977,28.1,No
1949,PIT,4.94,4.57,53,9,15,1356.0,1452,760,688,142,535,556,1.465,3.69,0.94,132,173,0.978,30.9,No
1948,PIT,4.49,4.15,65,5,19,1371.2,1373,701,632,120,564,543,1.412,3.56,0.79,137,150,0.977,31.9,No
1947,PIT,5.24,4.68,44,9,13,1374.0,1488,817,715,155,592,530,1.514,3.47,1.02,149,131,0.975,32.6,No
1946,PIT,4.31,3.72,61,10,6,1370.0,1406,668,566,50,561,458,1.436,3.01,0.33,184,127,0.97,31.7,No
1945,PIT,4.43,3.76,73,8,16,1387.1,1477,686,580,61,455,518,1.393,3.36,0.4,178,141,0.971,31.6,No
1944,PIT,4.19,3.44,77,10,19,1414.1,1466,662,540,65,435,452,1.344,2.88,0.41,191,122,0.97,32.5,No
1943,PIT,3.85,3.08,74,11,12,1404.0,1424,605,481,44,422,396,1.315,2.54,0.28,170,159,0.973,32.2,No
1942,PIT,4.18,3.58,64,13,11,1351.1,1376,631,538,62,435,426,1.34,2.84,0.41,184,128,0.969,31.4,No
1941,PIT,4.12,3.48,71,8,12,1374.1,1392,643,532,66,492,410,1.371,2.68,0.43,196,130,0.968,29.6,No
1940,PIT,5.02,4.36,49,8,24,1388.2,1569,783,673,72,492,491,1.484,3.18,0.47,217,161,0.966,29.9,No
1939,PIT,4.71,4.15,53,10,15,1354.0,1537,721,625,70,423,464,1.448,3.08,0.47,168,153,0.972,28.9,No
1938,PIT,4.14,3.46,57,8,15,1379.2,1406,630,531,71,432,557,1.332,3.63,0.46,163,168,0.974,28.4,No
1937,PIT,4.2,3.56,67,12,17,1366.1,1398,647,541,71,428,643,1.336,4.24,0.47,181,135,0.97,29.0,No
1936,PIT,4.6,3.89,67,5,12,1395.1,1475,718,603,74,379,559,1.329,3.61,0.48,199,113,0.967,29.8,No
1935,PIT,4.23,3.42,76,15,11,1365.2,1428,647,519,63,312,549,1.274,3.62,0.42,190,94,0.968,29.6,No
1934,PIT,4.72,4.2,63,8,8,1329.2,1523,713,620,78,354,487,1.412,3.3,0.53,145,118,0.975,29.9,No
1933,PIT,4.02,3.27,70,16,12,1373.1,1417,619,499,54,313,401,1.26,2.63,0.35,166,133,0.972,29.5,No
1932,PIT,4.62,3.75,72,12,13,1377.0,1472,711,573,86,338,377,1.314,2.46,0.56,185,124,0.969,28.6,No
1931,PIT,4.46,3.66,89,9,5,1390.0,1489,691,565,55,442,345,1.389,2.23,0.36,194,167,0.968,29.2,No
1930,PIT,6.03,5.24,80,7,13,1361.1,1730,928,793,128,438,393,1.593,2.6,0.85,216,164,0.965,28.3,No
1929,PIT,5.06,4.36,79,5,13,1379.0,1530,780,668,96,439,409,1.428,2.67,0.63,181,136,0.97,30.7,No
1928,PIT,4.63,3.95,82,8,11,1354.0,1422,704,594,66,446,385,1.38,2.56,0.44,201,123,0.967,31.8,No
1927,PIT,4.22,3.66,90,10,9,1385.0,1400,659,563,58,418,435,1.313,2.83,0.38,187,130,0.969,31.4,No
1926,PIT,4.39,3.67,83,12,18,1379.1,1422,689,562,50,455,387,1.361,2.53,0.33,220,161,0.965,30.4,No
1925,PIT,4.67,3.87,76,2,13,1354.2,1526,715,583,81,387,386,1.412,2.56,0.54,224,171,0.964,30.3,Yes
1924,PIT,3.83,3.27,85,15,5,1382.0,1387,586,502,42,323,364,1.237,2.37,0.27,183,161,0.971,29.3,No
1923,PIT,4.52,3.87,92,5,9,1376.1,1513,696,592,53,402,414,1.391,2.71,0.35,179,157,0.971,30.7,No
1922,PIT,4.75,3.98,88,15,9,1387.1,1613,736,614,52,358,490,1.421,3.18,0.34,187,126,0.97,29.6,No
1921,PIT,3.86,3.17,88,10,10,1415.2,1448,595,498,37,322,500,1.25,3.18,0.24,172,129,0.973,29.0,No
1920,PIT,3.56,2.89,92,17,10,1415.1,1389,552,454,25,280,444,1.179,2.82,0.16,186,119,0.971,29.3,No
1919,PIT,3.35,2.88,91,17,4,1249.0,1113,466,400,23,263,391,1.102,2.82,0.17,165,89,0.97,30.0,No
1918,PIT,3.27,2.48,85,10,7,1140.1,1005,412,314,13,299,367,1.144,2.9,0.1,179,111,0.966,27.9,No
1917,PIT,3.79,3.01,84,17,6,1417.2,1318,595,474,14,432,509,1.234,3.23,0.09,251,119,0.961,25.2,No
1916,PIT,3.73,2.76,88,11,7,1419.2,1277,586,436,24,443,596,1.212,3.78,0.15,260,97,0.959,25.0,No
1915,PIT,3.33,2.6,91,18,11,1380.0,1229,520,398,21,384,544,1.169,3.55,0.14,214,100,0.966,25.9,No
1914,PIT,3.42,2.7,86,10,11,1405.0,1272,540,422,27,392,488,1.184,3.13,0.17,223,96,0.966,26.2,No
1913,PIT,3.77,2.9,74,9,7,1400.0,1344,585,451,26,434,590,1.27,3.79,0.17,226,94,0.964,26.8,No
1912,PIT,3.72,2.85,94,18,7,1385.0,1268,565,439,28,497,664,1.274,4.31,0.18,169,125,0.972,25.6,No
1911,PIT,3.59,2.84,91,13,11,1380.1,1249,557,435,36,375,605,1.177,3.94,0.23,232,131,0.963,27.0,No
1910,PIT,3.74,2.83,73,13,12,1376.0,1254,576,433,20,392,479,1.196,3.13,0.13,245,102,0.961,28.2,No
1909,PIT,2.9,2.07,93,21,11,1401.2,1174,447,322,12,320,490,1.066,3.15,0.08,228,100,0.964,28.2,Yes
1908,PIT,3.02,2.12,100,24,9,1402.1,1142,468,331,16,406,468,1.104,3.0,0.1,226,74,0.964,27.7,No
1907,PIT,3.25,2.3,111,24,5,1363.0,1207,510,348,12,368,497,1.156,3.28,0.08,256,75,0.959,29.1,No
1906,PIT,3.05,2.21,116,27,2,1358.0,1234,470,334,13,309,532,1.136,3.53,0.09,228,109,0.964,28.9,No
1905,PIT,3.68,2.86,113,12,6,1382.2,1270,570,440,12,389,512,1.2,3.33,0.08,255,112,0.961,28.5,No
1904,PIT,3.79,2.89,133,15,1,1348.1,1273,592,433,13,379,455,1.225,3.04,0.09,291,93,0.955,27.6,No
1903,PIT,4.35,2.91,117,16,5,1251.1,1215,613,405,9,384,454,1.278,3.27,0.06,295,100,0.951,29.2,No
1902,PIT,3.1,2.3,131,21,3,1264.2,1142,440,323,4,250,564,1.101,4.01,0.03,247,87,0.958,28.5,No
1901,PIT,3.81,2.58,119,15,4,1244.2,1198,534,357,20,244,505,1.159,3.65,0.14,287,97,0.95,27.4,No
1900,PIT,4.37,3.06,114,11,1,1229.0,1232,612,418,24,295,415,1.242,3.04,0.18,322,106,0.945,26.2,No
1899,PIT,4.97,3.61,118,9,4,1373.0,1471,771,551,27,438,338,1.39,2.22,0.18,363,100,0.945,26.0,No
1898,PIT,4.57,3.41,131,10,3,1323.2,1400,694,501,14,346,330,1.319,2.24,0.1,340,105,0.946,26.2,No
1897,PIT,6.19,4.67,112,2,2,1153.1,1397,835,599,22,318,342,1.487,2.67,0.17,346,70,0.936,25.0,No
1896,PIT,5.66,4.3,108,8,1,1159.1,1286,741,554,18,439,362,1.488,2.81,0.14,317,103,0.941,24.4,No
1895,PIT,5.92,4.1,107,4,6,1179.2,1279,799,537,19,500,383,1.508,2.92,0.14,394,95,0.93,23.7,No
1894,PIT,7.38,5.62,106,2,0,1170.2,1563,981,731,39,466,308,1.733,2.37,0.3,355,106,0.936,24.7,No
1893,PIT,5.85,4.08,104,8,2,1167.0,1232,766,529,29,504,280,1.488,2.16,0.22,347,112,0.938,24.2,No
1892,PIT,5.14,3.1,130,3,1,1347.1,1300,796,464,28,537,455,1.363,3.04,0.19,483,113,0.927,26.5,No
1891,PIT,5.43,2.89,122,7,3,1197.2,1160,744,384,30,465,446,1.357,3.35,0.23,475,76,0.917,26.9,No
1890,PIT,8.95,5.97,119,3,0,1176.1,1520,1235,780,52,573,381,1.779,2.91,0.4,607,94,0.897,23.8,No
1889,PIT,5.98,4.51,125,5,1,1130.2,1296,801,566,42,374,345,1.477,2.75,0.33,385,94,0.931,25.6,No
1888,PIT,4.17,2.67,135,13,0,1203.1,1190,580,357,23,223,367,1.174,2.74,0.17,416,88,0.927,26.4,No
1887,PIT,6.0,4.12,123,4,0,1108.2,1287,750,507,39,246,248,1.383,2.01,0.32,425,70,0.921,28.0,No
1886,PIT,4.62,2.83,137,15,1,1226.0,1130,647,385,10,299,515,1.166,3.78,0.07,487,90,0.917,24.8,No
1885,PIT,4.86,2.92,104,8,0,1011.0,918,539,328,14,201,454,1.107,4.04,0.12,422,77,0.912,23.2,No
1884,PIT,6.59,4.35,108,4,0,943.1,1059,725,456,25,216,338,1.352,3.22,0.24,523,71,0.889,23.7,No
1883,PIT,7.43,4.62,82,1,1,867.2,1140,728,445,21,151,271,1.488,2.81,0.22,504,55,0.884,26.4,No
1882,PIT,5.28,2.8,77,2,0,695.1,696,417,216,4,83,253,1.12,3.27,0.05,394,40,0.889,26.7,No
2023,SDP,4.0,3.73,0,16,36,1441.0,1270,648,598,174,557,1445,1.268,9.02,1.09,73,130,0.988,30.7,No
2022,SDP,4.07,3.81,0,15,48,1443.1,1263,660,611,173,468,1451,1.199,9.05,1.08,76,116,0.987,30.3,No
2021,SDP,4.37,4.1,2,11,43,1430.0,1277,708,651,205,516,1517,1.254,9.55,1.29,82,139,0.986,29.6,No
2019,SDP,4.87,4.6,0,6,47,1432.0,1394,789,732,215,463,1475,1.297,9.27,1.35,116,100,0.98,26.3,No
2018,SDP,4.73,4.4,0,5,36,1457.0,1430,767,713,185,519,1399,1.338,8.64,1.14,100,127,0.983,27.7,No
2017,SDP,5.04,4.67,2,12,45,1430.2,1417,816,742,226,554,1325,1.378,8.34,1.42,113,177,0.981,27.7,No
2016,SDP,4.75,4.43,1,9,35,1440.0,1425,770,708,183,569,1222,1.385,7.64,1.14,109,165,0.982,28.1,No
2015,SDP,4.51,4.09,1,6,41,1440.1,1371,731,655,171,516,1393,1.31,8.7,1.07,92,138,0.985,29.1,No
2014,SDP,3.56,3.27,4,10,41,1438.2,1300,577,523,117,462,1284,1.225,8.03,0.73,101,124,0.983,28.8,No
2013,SDP,4.32,3.98,3,6,40,1455.0,1407,700,643,156,525,1171,1.328,7.24,0.96,83,140,0.986,28.8,No
2012,SDP,4.38,4.01,4,11,43,1434.2,1356,710,640,162,539,1205,1.321,7.56,1.02,121,97,0.98,28.0,No
2011,SDP,3.77,3.42,0,10,44,1449.1,1324,611,551,125,521,1139,1.273,7.07,0.78,94,139,0.985,28.1,No
2010,SDP,3.59,3.39,2,20,49,1456.1,1305,581,549,139,517,1295,1.251,8.0,0.86,72,141,0.988,27.2,No
2009,SDP,4.75,4.37,2,9,45,1450.2,1422,769,704,167,603,1187,1.396,7.36,1.04,94,146,0.984,26.8,No
2008,SDP,4.72,4.41,3,6,30,1458.1,1466,764,714,165,561,1100,1.39,6.79,1.02,85,149,0.986,30.2,No
2007,SDP,4.09,3.7,1,20,45,1484.2,1406,666,611,119,474,1136,1.266,6.89,0.72,92,147,0.985,31.5,No
2006,SDP,4.19,3.87,4,11,50,1463.2,1385,679,629,176,468,1097,1.266,6.75,1.08,92,138,0.985,30.6,No
2005,SDP,4.48,4.13,4,8,45,1455.1,1452,726,668,146,503,1133,1.343,7.01,0.9,109,136,0.982,31.0,No
2004,SDP,4.35,4.03,3,8,44,1441.0,1460,705,645,184,422,1079,1.306,6.74,1.15,108,146,0.982,30.0,No
2003,SDP,5.13,4.87,2,10,31,1431.1,1458,831,774,208,611,1091,1.446,6.86,1.31,102,141,0.983,27.8,No
2002,SDP,5.03,4.62,5,10,40,1436.1,1522,815,737,177,582,1108,1.465,6.94,1.11,128,162,0.979,27.8,No
2001,SDP,5.01,4.52,5,6,46,1440.2,1519,812,724,219,476,1088,1.385,6.8,1.37,145,127,0.976,28.7,No
2000,SDP,5.03,4.52,5,5,46,1459.1,1443,815,733,191,649,1071,1.434,6.61,1.18,141,155,0.977,27.5,No
1999,SDP,4.82,4.47,5,6,43,1420.1,1454,781,705,193,529,1078,1.396,6.83,1.22,129,151,0.979,28.8,No
1998,SDP,3.92,3.63,14,11,59,1454.2,1384,635,587,139,501,1217,1.296,7.53,0.86,104,155,0.983,29.8,No
1997,SDP,5.5,4.98,5,2,43,1450.0,1581,891,802,172,596,1059,1.501,6.57,1.07,132,132,0.979,28.1,No
1996,SDP,4.21,3.72,5,11,47,1489.0,1395,682,616,138,506,1194,1.277,7.22,0.83,118,136,0.981,28.7,No
1995,SDP,4.67,4.13,6,10,35,1284.2,1242,672,590,142,512,1047,1.365,7.33,0.99,108,130,0.98,26.6,No
1994,SDP,4.54,4.08,8,6,27,1045.2,1008,531,474,99,393,862,1.34,7.42,0.85,111,82,0.975,26.8,No
1993,SDP,4.77,4.23,8,6,32,1437.2,1470,772,675,148,558,957,1.411,5.99,0.93,160,129,0.974,26.7,No
1992,SDP,3.93,3.56,9,11,46,1461.1,1444,636,578,111,439,971,1.289,5.98,0.68,115,127,0.982,29.1,No
1991,SDP,3.99,3.57,14,11,47,1452.2,1385,646,577,139,457,921,1.268,5.71,0.86,113,130,0.982,29.0,No
1990,SDP,4.15,3.68,21,12,35,1461.2,1437,673,597,147,507,928,1.33,5.71,0.91,141,141,0.977,29.5,No
1989,SDP,3.86,3.38,21,11,52,1457.1,1359,626,547,133,481,933,1.263,5.76,0.82,154,147,0.976,29.2,No
1988,SDP,3.62,3.28,30,9,39,1449.0,1332,583,528,112,439,885,1.222,5.5,0.7,120,147,0.981,28.0,No
1987,SDP,4.71,4.27,14,10,33,1433.1,1402,763,680,175,602,897,1.398,5.63,1.1,147,135,0.976,27.7,No
1986,SDP,4.46,3.99,13,7,32,1443.1,1406,723,640,150,607,934,1.395,5.82,0.94,137,135,0.978,28.1,No
1985,SDP,3.84,3.4,26,19,44,1451.1,1399,622,549,127,443,727,1.269,4.51,0.79,124,158,0.98,28.2,No
1984,SDP,3.91,3.48,13,17,44,1460.1,1327,634,565,122,563,812,1.294,5.0,0.75,138,144,0.978,27.6,No
1983,SDP,4.01,3.62,23,5,44,1467.2,1389,653,590,144,528,850,1.306,5.21,0.88,129,135,0.979,27.4,No
1982,SDP,4.06,3.52,20,11,41,1476.0,1348,658,578,139,502,765,1.253,4.66,0.85,152,142,0.976,27.4,No
1981,SDP,4.14,3.72,9,6,23,1002.0,1013,455,414,64,414,492,1.424,4.42,0.57,102,117,0.977,27.6,No
1980,SDP,4.01,3.65,19,9,39,1466.1,1474,654,595,97,536,728,1.371,4.47,0.6,132,157,0.98,28.7,No
1979,SDP,4.23,3.69,29,7,25,1453.0,1438,681,596,108,513,779,1.343,4.83,0.67,141,154,0.978,29.1,No
1978,SDP,3.69,3.28,21,10,55,1433.2,1385,598,522,74,483,744,1.303,4.67,0.46,160,171,0.975,28.4,No
1977,SDP,5.15,4.43,6,5,44,1466.1,1556,834,722,160,673,827,1.52,5.08,0.98,189,142,0.971,26.0,No
1976,SDP,4.09,3.65,47,11,18,1432.1,1368,662,581,87,543,652,1.334,4.1,0.55,141,148,0.978,26.2,No
1975,SDP,4.22,3.48,40,12,20,1463.1,1494,683,566,99,521,713,1.377,4.39,0.61,188,163,0.971,25.6,No
1974,SDP,5.12,4.58,25,7,19,1445.2,1536,830,736,124,715,855,1.557,5.32,0.77,170,126,0.973,24.8,No
1973,SDP,4.75,4.16,34,10,23,1430.0,1461,770,661,157,548,845,1.405,5.32,0.99,170,152,0.973,25.4,No
1972,SDP,4.35,3.78,39,17,19,1403.2,1350,665,589,121,618,960,1.402,6.16,0.78,144,146,0.976,25.2,No
1971,SDP,3.79,3.22,47,10,17,1438.0,1351,610,515,93,559,923,1.328,5.78,0.58,161,144,0.974,26.3,No
1970,SDP,4.86,4.36,24,9,32,1440.1,1483,788,697,149,611,886,1.454,5.54,0.93,158,159,0.975,26.4,No
1969,SDP,4.6,4.24,16,9,25,1422.1,1454,746,670,113,592,764,1.438,4.83,0.72,156,140,0.975,24.9,No
2023,SEA,4.07,3.74,2,18,44,1449.1,1300,659,602,184,421,1459,1.187,9.06,1.14,73,123,0.987,27.4,No
2022,SEA,3.85,3.59,0,10,40,1447.0,1277,623,577,186,447,1391,1.191,8.65,1.16,69,114,0.988,27.9,No
2021,SEA,4.62,4.3,1,10,51,1440.1,1356,748,688,197,485,1328,1.278,8.3,1.23,79,135,0.986,28.0,No
2019,SEA,5.51,4.99,3,4,34,1439.1,1484,893,798,260,505,1239,1.382,7.75,1.63,132,145,0.978,28.6,No
2018,SEA,4.39,4.13,3,12,60,1448.2,1396,711,664,195,400,1328,1.24,8.25,1.21,88,152,0.985,29.0,No
2017,SEA,4.77,4.46,1,9,39,1440.1,1399,772,713,237,490,1244,1.312,7.77,1.48,103,147,0.982,27.9,No
2016,SEA,4.36,4.0,2,8,49,1457.0,1410,707,647,213,460,1318,1.283,8.14,1.32,89,158,0.985,28.8,No
