Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,Team
1984,NL West,79,83,4,3.7,3.17,162,39,16,27,1460.2,1381,600,514,76,499,1033,1.287,6.36,0.47,163,146,0.975,27.5,LAD
1983,NL West,91,71,1,3.74,3.1,163,27,12,40,1464.0,1336,609,505,97,495,1000,1.251,6.15,0.6,168,132,0.974,27.1,LAD
1982,NL West,88,74,2,3.78,3.26,162,37,16,28,1488.1,1356,612,539,81,468,932,1.226,5.64,0.49,139,131,0.979,26.8,LAD
1981,NL West,63,47,2,3.24,3.01,110,26,19,24,997.0,904,356,333,54,302,603,1.21,5.44,0.49,87,101,0.98,26.2,LAD
1980,NL West,92,71,2,3.63,3.25,163,24,19,42,1472.2,1358,591,531,105,480,835,1.248,5.1,0.64,123,149,0.981,28.2,LAD
1979,NL West,79,83,3,4.43,3.83,162,30,6,34,1444.0,1425,717,614,101,555,811,1.371,5.05,0.63,118,123,0.981,28.3,LAD
1978,NL West,95,67,1,3.54,3.12,162,46,16,38,1440.1,1362,573,499,107,440,800,1.251,5.0,0.67,140,138,0.978,28.7,LAD
1977,NL West,98,64,1,3.59,3.22,162,34,13,39,1475.1,1393,582,528,119,438,930,1.241,5.67,0.73,124,160,0.981,28.5,LAD
1976,NL West,92,70,2,3.35,3.02,162,47,17,28,1470.2,1330,543,493,97,479,747,1.23,4.57,0.59,128,154,0.98,28.3,LAD
1975,NL West,88,74,2,3.3,2.92,162,51,18,21,1469.2,1215,534,477,104,448,894,1.132,5.47,0.64,127,106,0.979,28.2,LAD
1974,NL West,102,60,1,3.46,2.97,162,33,19,23,1465.1,1272,561,484,112,464,943,1.185,5.79,0.69,157,122,0.975,28.9,LAD
1973,NL West,95,66,2,3.49,3.0,162,45,15,38,1491.0,1270,565,497,129,461,961,1.161,5.8,0.78,125,166,0.981,29.9,LAD
1972,NL West,85,70,2,3.4,2.78,155,50,23,29,1403.0,1196,527,434,83,429,856,1.158,5.49,0.53,162,145,0.974,30.3,LAD
1971,NL West,89,73,2,3.62,3.23,162,48,18,33,1449.2,1363,587,521,110,399,853,1.215,5.3,0.68,131,159,0.979,28.4,LAD
1970,NL West,87,74,2,4.25,3.82,161,37,17,42,1458.2,1394,684,619,164,496,880,1.296,5.43,1.01,135,135,0.978,26.7,LAD
1969,NL West,85,77,4,3.46,3.08,162,47,20,31,1457.0,1324,561,499,122,420,975,1.197,6.02,0.75,126,130,0.98,27.3,LAD
1968,NL,76,86,7,3.14,2.69,162,38,23,32,1448.2,1293,509,433,65,414,994,1.178,6.18,0.4,144,144,0.977,26.9,LAD
1967,NL,73,89,8,3.67,3.21,162,41,17,24,1473.0,1421,595,526,93,393,967,1.232,5.91,0.57,160,144,0.975,27.0,LAD
1966,NL,95,67,1,3.02,2.62,162,52,20,34,1458.0,1287,490,425,84,356,1084,1.127,6.69,0.52,133,128,0.979,26.9,LAD
1965,NL,97,65,1,3.22,2.81,162,58,23,35,1476.0,1223,521,461,127,425,1079,1.117,6.58,0.77,134,135,0.979,27.6,LAD
1964,NL,80,82,6,3.49,2.95,164,47,19,27,1483.2,1289,572,487,88,458,1062,1.177,6.44,0.53,170,126,0.973,25.6,LAD
1963,NL,99,63,1,3.37,2.85,163,51,24,29,1469.2,1329,550,466,111,402,1095,1.178,6.71,0.68,159,129,0.975,26.5,LAD
1962,NL,102,63,2,4.22,3.62,165,44,8,44,1488.2,1386,697,598,115,588,1104,1.326,6.67,0.7,193,144,0.97,25.7,LAD
1961,NL,89,65,2,4.53,4.04,154,40,10,35,1378.1,1346,697,619,167,544,1105,1.371,7.22,1.09,144,162,0.975,25.8,LAD
1960,NL,82,72,4,3.85,3.4,154,46,13,20,1398.0,1218,593,528,154,564,1122,1.275,7.22,0.99,125,142,0.979,25.3,LAD
1959,NL,88,68,1,4.29,3.79,156,43,14,25,1411.2,1317,670,595,157,614,1077,1.368,6.87,1.0,114,154,0.981,25.9,LAD
1958,NL,71,83,7,4.94,4.47,154,30,7,32,1368.1,1399,761,680,173,606,855,1.465,5.62,1.14,146,198,0.975,25.2,LAD
1957,NL,84,70,3,3.84,3.35,154,44,18,29,1399.0,1285,591,521,144,456,891,1.244,5.73,0.93,127,136,0.979,26.7,LAD
1956,NL,93,61,1,3.9,3.57,154,46,12,30,1368.2,1251,601,543,171,441,772,1.236,5.08,1.12,111,149,0.981,28.2,LAD
1955,NL,98,55,1,4.22,3.68,154,46,11,37,1378.0,1296,650,564,168,483,773,1.291,5.05,1.1,133,156,0.978,26.2,LAD
1954,NL,92,62,2,4.81,4.31,154,39,8,35,1393.2,1399,740,667,164,533,762,1.386,4.92,1.06,129,138,0.978,27.7,LAD
1953,NL,105,49,1,4.45,4.1,155,51,11,29,1380.2,1337,689,629,169,509,817,1.337,5.33,1.1,118,161,0.98,27.3,LAD
1952,NL,96,57,1,3.89,3.53,155,45,11,24,1399.1,1295,603,549,121,544,773,1.314,4.97,0.78,106,169,0.982,27.1,LAD
1951,NL,97,60,2,4.25,3.88,158,64,10,13,1423.1,1360,672,613,150,549,693,1.341,4.38,0.95,129,192,0.979,27.2,LAD
1950,NL,89,65,2,4.67,4.28,155,62,10,20,1389.2,1397,724,661,163,591,772,1.431,5.0,1.06,127,183,0.979,26.6,LAD
1949,NL,97,57,1,4.17,3.8,156,62,15,17,1408.2,1306,651,595,132,582,743,1.34,4.75,0.84,122,162,0.98,26.0,LAD
1948,NL,84,70,3,4.32,3.75,155,52,9,21,1392.2,1328,669,581,119,633,670,1.408,4.33,0.77,161,151,0.973,26.3,LAD
1947,NL,94,60,1,4.3,3.82,155,47,14,34,1375.0,1299,667,583,104,626,592,1.4,3.87,0.68,129,169,0.978,25.9,LAD
1946,NL,96,60,2,3.63,3.05,157,52,14,28,1418.0,1280,570,480,58,671,647,1.376,4.11,0.37,174,154,0.972,27.4,LAD
1945,NL,87,67,3,4.67,3.7,155,61,7,18,1392.1,1357,724,573,74,586,557,1.395,3.6,0.48,230,144,0.962,28.2,LAD
1944,NL,63,91,7,5.37,4.68,155,50,4,13,1367.2,1471,832,711,75,660,487,1.558,3.2,0.49,197,112,0.966,28.3,LAD
1943,NL,81,72,3,4.41,3.88,153,50,13,22,1369.2,1326,675,591,59,637,588,1.433,3.86,0.39,168,137,0.972,30.3,LAD
1942,NL,104,50,2,3.3,2.84,155,67,16,24,1398.2,1205,512,442,73,493,612,1.214,3.94,0.47,138,150,0.977,31.2,LAD
1941,NL,100,54,1,3.7,3.14,157,66,17,22,1421.0,1236,581,496,81,495,603,1.218,3.82,0.51,162,125,0.974,31.4,LAD
1940,NL,88,65,2,3.98,3.5,156,65,17,14,1433.0,1366,621,557,101,393,639,1.227,4.01,0.63,183,110,0.97,31.8,LAD
1939,NL,84,69,3,4.11,3.64,157,69,9,13,1410.1,1431,645,571,93,399,528,1.298,3.37,0.59,176,157,0.972,30.6,LAD
1938,NL,69,80,7,4.7,4.07,151,56,12,15,1332.0,1464,710,602,88,446,469,1.434,3.17,0.59,157,148,0.973,30.7,LAD
1937,NL,62,91,6,4.98,4.13,155,63,5,8,1362.2,1470,772,625,68,476,592,1.428,3.91,0.45,217,127,0.964,29.7,LAD
1936,NL,67,87,7,4.82,3.98,156,59,7,18,1403.0,1466,752,621,84,528,651,1.421,4.18,0.54,208,107,0.966,28.6,LAD
1935,NL,70,83,5,4.98,4.22,154,62,11,20,1358.0,1519,767,637,88,436,480,1.44,3.18,0.58,188,146,0.969,29.8,LAD
1934,NL,71,81,6,5.2,4.48,153,66,6,13,1354.1,1540,795,674,81,475,520,1.488,3.46,0.54,180,141,0.97,27.3,LAD
1933,NL,65,88,6,4.43,3.73,157,71,9,10,1386.1,1502,695,574,51,374,415,1.353,2.69,0.33,177,120,0.971,29.3,LAD
1932,NL,81,73,3,4.85,4.27,154,61,7,17,1379.2,1538,747,655,72,403,497,1.407,3.24,0.47,183,169,0.971,31.4,LAD
1931,NL,79,73,4,4.4,3.84,153,64,9,16,1356.0,1520,673,579,56,351,546,1.38,3.62,0.37,187,154,0.969,32.9,LAD
1930,NL,86,68,4,4.79,4.03,154,74,13,18,1372.0,1480,738,614,115,394,526,1.366,3.45,0.75,174,167,0.972,31.4,LAD
1929,NL,70,83,6,5.8,4.92,153,59,8,16,1358.0,1553,888,743,92,549,549,1.548,3.64,0.61,192,113,0.968,29.6,LAD
1928,NL,77,76,6,4.13,3.25,155,75,16,15,1396.0,1378,640,504,59,468,551,1.322,3.55,0.38,217,113,0.965,31.5,LAD
1927,NL,65,88,6,4.02,3.36,154,74,7,10,1375.1,1382,619,513,63,418,574,1.309,3.76,0.41,229,117,0.963,31.9,LAD
1926,NL,71,82,6,4.55,3.82,155,83,5,9,1361.2,1440,705,578,50,472,517,1.404,3.42,0.33,229,95,0.963,31.5,LAD
1925,NL,68,85,6,5.66,4.77,153,82,4,3,1350.2,1608,866,716,75,477,518,1.544,3.45,0.5,210,130,0.966,30.3,LAD
1924,NL,92,62,2,4.41,3.64,154,96,10,5,1376.1,1432,679,556,58,403,638,1.333,4.17,0.38,196,121,0.968,30.3,LAD
1923,NL,76,78,6,4.78,3.74,155,94,8,5,1396.2,1503,741,581,55,476,548,1.417,3.53,0.35,293,137,0.955,28.7,LAD
1922,NL,76,78,6,4.86,4.05,155,82,12,11,1385.2,1574,754,623,74,490,499,1.49,3.24,0.48,208,139,0.967,28.8,LAD
1921,NL,77,75,5,4.48,3.7,152,82,8,12,1363.1,1556,681,560,46,361,471,1.406,3.11,0.3,232,142,0.964,28.4,LAD
1920,NL,93,61,1,3.41,2.62,155,89,17,9,1427.1,1381,528,416,25,327,553,1.197,3.49,0.16,226,118,0.966,28.8,LAD
1919,NL,69,71,5,3.64,2.73,141,98,12,1,1281.0,1256,513,389,21,292,476,1.208,3.34,0.15,219,84,0.963,27.8,LAD
1918,NL,57,69,5,3.67,2.81,126,85,17,2,1131.1,1024,463,353,22,320,395,1.188,3.14,0.18,193,78,0.963,29.2,LAD
1917,NL,70,81,7,3.58,2.78,156,99,8,9,1421.1,1288,559,439,32,405,582,1.191,3.69,0.2,245,102,0.962,28.7,LAD
1916,NL,94,60,1,3.02,2.12,156,96,22,9,1427.1,1201,471,336,24,372,634,1.102,4.0,0.15,224,90,0.965,28.7,LAD
1915,NL,80,72,3,3.64,2.66,154,87,16,8,1389.2,1252,560,410,29,473,499,1.241,3.23,0.19,238,96,0.963,27.4,LAD
1914,NL,75,79,5,4.01,2.82,154,80,11,11,1368.1,1282,618,428,36,466,605,1.277,3.98,0.24,248,112,0.961,27.7,LAD
1913,NL,65,84,6,4.03,3.13,152,71,9,7,1373.0,1287,613,477,33,439,548,1.257,3.59,0.22,243,125,0.961,27.4,LAD
1912,NL,58,95,7,4.86,3.64,153,71,10,8,1357.0,1399,744,549,45,510,553,1.407,3.67,0.3,255,96,0.959,26.1,LAD
1911,NL,64,86,7,4.28,3.39,154,81,13,10,1371.2,1310,659,517,27,566,533,1.368,3.5,0.18,241,112,0.962,26.8,LAD
1910,NL,64,90,6,3.99,3.07,156,103,15,5,1420.1,1331,623,484,17,545,555,1.321,3.52,0.11,235,125,0.964,28.1,LAD
1909,NL,55,98,6,4.05,3.1,155,126,18,3,1384.1,1277,627,477,31,528,594,1.304,3.86,0.2,282,86,0.955,28.1,LAD
1908,NL,53,101,7,3.35,2.47,154,118,20,4,1369.0,1165,516,375,17,444,535,1.175,3.52,0.11,247,66,0.961,28.0,LAD
1907,NL,65,83,5,3.41,2.38,153,125,20,1,1356.1,1218,522,359,16,463,479,1.239,3.18,0.11,262,94,0.959,27.1,LAD
1906,NL,66,86,5,4.08,3.13,153,119,22,11,1348.2,1255,625,469,15,453,476,1.266,3.18,0.1,283,73,0.955,26.6,LAD
1905,NL,48,104,8,5.21,3.76,155,125,7,3,1347.0,1416,807,562,24,476,556,1.405,3.71,0.16,408,101,0.937,25.8,LAD
1904,NL,56,97,6,3.99,2.7,154,135,12,2,1337.1,1281,614,401,27,414,453,1.267,3.05,0.18,343,87,0.945,27.4,LAD
1903,NL,70,66,5,4.91,3.44,139,118,11,4,1221.1,1276,682,467,18,377,438,1.353,3.23,0.13,284,98,0.951,27.4,LAD
1902,NL,75,63,2,3.68,2.69,141,131,14,3,1256.0,1113,519,376,10,363,536,1.175,3.84,0.07,275,79,0.952,27.2,LAD
1901,NL,79,57,3,4.38,3.14,137,111,7,5,1213.2,1244,600,424,18,435,583,1.383,4.32,0.13,281,99,0.95,27.0,LAD
1900,NL,82,54,1,5.08,3.89,142,104,8,4,1225.2,1370,722,530,30,405,300,1.448,2.2,0.22,303,102,0.948,29.1,LAD
1899,NL,101,47,1,4.39,3.25,150,121,9,9,1269.1,1320,658,458,32,463,331,1.405,2.35,0.23,314,125,0.948,26.4,LAD
1898,NL,54,91,10,5.44,4.01,149,134,1,0,1298.2,1446,811,579,34,476,294,1.48,2.04,0.24,334,125,0.947,25.6,LAD
1897,NL,61,71,7,6.21,4.6,136,114,4,2,1194.2,1417,845,611,34,410,256,1.529,1.93,0.26,364,99,0.936,27.7,LAD
1896,NL,58,73,10,5.74,4.25,133,97,3,1,1144.0,1353,764,540,39,400,259,1.532,2.04,0.31,297,104,0.945,27.6,LAD
1895,NL,71,60,5,6.25,4.93,134,104,5,6,1159.2,1366,838,635,42,397,218,1.52,1.69,0.33,326,97,0.941,25.6,LAD
1894,NL,70,61,5,7.56,5.56,135,106,3,5,1171.1,1464,1020,723,41,560,290,1.728,2.23,0.32,393,85,0.928,25.1,LAD
1893,NL,65,63,7,6.5,4.55,130,109,3,3,1154.0,1262,845,583,41,547,297,1.568,2.32,0.32,385,88,0.93,25.0,LAD
1892,NL,95,59,3,4.64,3.25,158,132,12,5,1405.2,1285,733,507,26,600,597,1.341,3.82,0.17,398,98,0.94,25.3,LAD
1891,NL,61,76,6,5.99,3.86,137,121,8,3,1204.2,1272,820,516,40,459,407,1.437,3.04,0.3,432,73,0.924,25.6,LAD
1890,NL,86,43,1,4.81,3.06,129,115,6,2,1145.0,1102,620,389,27,401,403,1.313,3.17,0.21,320,92,0.94,25.7,LAD
1889,AA,93,44,1,5.04,3.61,140,120,10,1,1212.2,1205,706,487,33,400,471,1.324,3.5,0.24,421,92,0.928,24.6,LAD
1888,AA,88,52,2,4.08,2.33,143,138,9,0,1286.1,1059,584,333,15,285,577,1.045,4.04,0.1,502,88,0.918,23.9,LAD
1887,AA,60,74,6,6.65,4.47,138,132,3,3,1185.1,1348,918,589,27,454,332,1.52,2.52,0.21,562,88,0.905,26.2,LAD
1886,AA,76,61,3,5.9,3.42,141,138,6,0,1234.2,1202,832,469,17,464,540,1.349,3.94,0.12,610,87,0.9,25.5,LAD
1885,AA,53,59,5,5.8,3.46,112,110,3,1,991.2,955,650,381,27,211,436,1.176,3.96,0.25,434,56,0.91,25.2,LAD
1884,AA,40,64,9,5.91,3.79,109,105,6,0,948.2,996,644,400,20,163,378,1.222,3.59,0.19,520,68,0.889,24.2,LAD
2023,NL East,84,77,3,4.46,4.22,162,3,9,43,1435.1,1341,723,673,191,514,1490,1.292,9.34,1.2,97,144,0.983,27.6,FLA
2022,NL East,69,93,4,4.17,3.86,162,6,10,41,1437.1,1311,676,617,173,511,1437,1.268,9.0,1.08,69,143,0.988,27.6,FLA
2021,NL East,67,95,4,4.33,3.96,162,1,8,33,1415.0,1282,701,622,162,529,1381,1.28,8.78,1.03,122,146,0.979,27.3,FLA
2020,NL East,31,29,2,5.07,4.86,60,1,6,18,504.0,506,304,272,82,226,451,1.452,8.05,1.46,39,60,0.981,27.5,FLA
2019,NL East,57,105,5,4.99,4.74,162,2,8,27,1444.1,1340,808,760,236,615,1378,1.354,8.59,1.47,94,135,0.984,26.5,FLA
2018,NL East,63,98,5,5.02,4.76,161,1,12,30,1442.0,1388,809,762,192,605,1249,1.382,7.8,1.2,83,133,0.986,27.6,FLA
2017,NL East,77,85,2,5.07,4.82,162,1,7,34,1442.2,1450,822,772,193,627,1202,1.44,7.5,1.2,73,156,0.988,28.7,FLA
2016,NL East,79,82,3,4.24,4.05,161,0,12,55,1435.0,1358,682,646,152,595,1379,1.361,8.65,0.95,86,137,0.985,28.0,FLA
2015,NL East,71,91,3,4.19,4.02,162,0,12,35,1427.0,1374,678,638,141,508,1152,1.319,7.27,0.89,77,162,0.987,27.3,FLA
2014,NL East,77,85,4,4.16,3.78,162,3,16,42,1457.2,1481,674,613,114,458,1190,1.33,7.35,0.7,97,154,0.984,26.4,FLA
2013,NL East,62,100,5,3.99,3.71,162,2,13,36,1460.0,1376,646,602,121,526,1177,1.303,7.26,0.75,88,144,0.986,26.0,FLA
2012,NL East,69,93,5,4.47,4.09,162,5,7,38,1440.2,1448,724,655,133,495,1113,1.349,6.95,0.83,103,154,0.983,28.8,FLA
2011,NL East,72,90,5,4.33,3.95,162,7,11,40,1459.2,1403,702,640,149,500,1218,1.304,7.51,0.92,93,126,0.985,28.0,FLA
2010,NL East,80,82,3,4.43,4.08,162,5,17,39,1438.1,1433,717,652,134,549,1168,1.378,7.31,0.84,123,130,0.979,27.1,FLA
2009,NL East,87,75,2,4.73,4.29,162,5,5,45,1446.1,1425,766,690,160,601,1248,1.401,7.77,1.0,106,129,0.982,26.3,FLA
2008,NL East,84,77,3,4.76,4.43,161,2,8,36,1435.1,1421,767,707,161,586,1127,1.398,7.07,1.01,117,122,0.98,26.6,FLA
2007,NL East,71,91,5,5.5,4.94,162,0,4,40,1443.2,1617,891,793,176,661,1142,1.578,7.12,1.1,137,159,0.977,26.2,FLA
2006,NL East,78,84,4,4.77,4.37,162,6,6,41,1433.1,1465,772,696,166,622,1088,1.456,6.83,1.04,126,166,0.979,25.9,FLA
2005,NL East,83,79,3,4.52,4.16,162,14,15,42,1442.1,1459,732,666,116,563,1125,1.402,7.02,0.72,103,177,0.983,29.5,FLA
2004,NL East,83,79,3,4.32,4.1,162,6,14,53,1439.0,1395,700,655,166,513,1116,1.326,6.98,1.04,86,153,0.986,27.8,FLA
2003,NL East,91,71,2,4.27,4.04,162,7,11,36,1445.1,1415,692,648,128,530,1132,1.346,7.05,0.8,78,162,0.987,26.3,FLA
2002,NL East,79,83,4,4.71,4.36,162,11,12,36,1456.1,1449,763,706,151,631,1104,1.428,6.82,0.93,106,163,0.983,26.1,FLA
2001,NL East,76,86,4,4.59,4.32,162,5,11,32,1438.0,1397,744,691,151,617,1119,1.401,7.0,0.95,103,174,0.983,26.5,FLA
2000,NL East,79,82,3,4.95,4.59,161,5,4,48,1429.2,1477,797,729,169,650,1051,1.488,6.62,1.06,125,144,0.98,26.7,FLA
1999,NL East,64,98,5,5.26,4.9,162,6,5,33,1435.2,1560,852,781,171,655,943,1.543,5.91,1.07,127,150,0.979,26.0,FLA
1998,NL East,54,108,5,5.7,5.18,162,11,3,24,1449.2,1617,923,834,182,715,1016,1.609,6.31,1.13,129,177,0.979,24.5,FLA
1997,NL East,92,70,2,4.13,3.83,162,12,10,39,1446.2,1353,669,615,131,639,1188,1.377,7.39,0.81,116,167,0.981,27.5,FLA
1996,NL East,80,82,3,4.34,3.95,162,8,13,41,1443.0,1386,703,634,113,598,1050,1.375,6.55,0.7,111,187,0.982,28.0,FLA
1995,NL East,67,76,4,4.71,4.27,143,12,7,29,1286.0,1299,673,610,139,562,994,1.447,6.96,0.97,115,143,0.979,28.3,FLA
1994,NL East,51,64,5,5.01,4.5,115,5,7,30,1015.0,1069,576,507,120,428,649,1.475,5.75,1.06,95,111,0.978,29.0,FLA
1993,NL East,64,98,6,4.47,4.13,162,4,5,48,1440.1,1437,724,661,135,598,945,1.413,5.9,0.84,125,130,0.98,29.7,FLA
2023,NL Central,92,70,1,3.99,3.71,162,1,16,46,1443.0,1218,647,595,198,493,1425,1.186,8.89,1.23,77,117,0.987,29.3,MIL
2022,NL Central,86,76,2,4.25,3.83,162,0,11,52,1446.0,1238,688,615,190,521,1530,1.216,9.52,1.18,91,122,0.984,28.6,MIL
2021,NL Central,95,67,1,3.85,3.5,162,2,19,44,1436.0,1156,623,558,168,537,1618,1.179,10.14,1.05,94,102,0.984,28.1,MIL
2020,NL Central,29,31,4,4.4,4.16,60,1,8,14,517.1,446,264,239,67,189,614,1.227,10.68,1.17,34,45,0.984,28.0,MIL
2019,NL Central,89,73,2,4.73,4.4,162,0,7,50,1459.1,1364,766,713,225,570,1497,1.325,9.23,1.39,97,135,0.983,28.7,MIL
2018,NL Central,96,67,1,4.04,3.73,163,0,14,49,1461.0,1259,659,606,173,553,1428,1.24,8.8,1.07,108,141,0.982,28.8,MIL
2017,NL Central,86,76,2,4.3,4.0,162,1,12,54,1445.2,1381,697,642,185,553,1346,1.338,8.38,1.15,115,164,0.981,28.3,MIL
2016,NL Central,73,89,4,4.52,4.08,162,0,7,46,1434.1,1450,733,650,178,532,1175,1.382,7.37,1.12,136,145,0.978,28.1,MIL
2015,NL Central,68,94,4,4.55,4.28,162,1,7,40,1435.0,1432,737,682,176,517,1260,1.358,7.9,1.1,116,164,0.981,28.4,MIL
2014,NL Central,82,80,3,4.06,3.67,162,3,9,45,1457.2,1386,657,594,167,431,1246,1.247,7.69,1.03,99,130,0.984,29.0,MIL
2013,NL Central,74,88,4,4.24,3.84,162,4,15,40,1442.2,1401,687,615,175,466,1125,1.294,7.02,1.09,114,153,0.981,28.8,MIL
2012,NL Central,83,79,3,4.52,4.22,162,0,9,44,1453.2,1458,733,682,169,525,1402,1.364,8.68,1.05,99,133,0.983,29.0,MIL
2011,NL Central,96,66,1,3.94,3.63,162,1,13,47,1441.2,1348,638,582,147,440,1257,1.24,7.85,0.92,111,130,0.982,29.3,MIL
2010,NL Central,77,85,3,4.96,4.58,162,3,7,35,1439.0,1487,804,733,173,582,1258,1.438,7.87,1.08,101,142,0.983,29.2,MIL
2009,NL Central,80,82,3,5.05,4.83,162,1,8,44,1435.0,1498,818,770,207,607,1104,1.467,6.92,1.3,98,149,0.984,30.0,MIL
2008,NL Central,90,72,2,4.25,3.85,162,12,10,45,1455.2,1415,689,623,175,528,1110,1.335,6.86,1.08,101,160,0.984,29.9,MIL
2007,NL Central,83,79,2,4.79,4.41,162,3,6,49,1444.1,1513,776,708,161,507,1174,1.399,7.32,1.0,109,144,0.982,29.1,MIL
2006,NL Central,75,87,4,5.14,4.82,162,7,8,43,1425.2,1454,833,763,177,514,1145,1.38,7.23,1.12,117,126,0.98,28.3,MIL
2005,NL Central,81,81,3,4.3,3.97,162,7,6,46,1438.0,1382,697,635,169,569,1173,1.357,7.34,1.06,119,139,0.98,28.0,MIL
2004,NL Central,67,94,6,4.7,4.24,161,6,10,42,1442.0,1440,757,679,164,476,1098,1.329,6.85,1.02,117,132,0.981,27.2,MIL
2003,NL Central,68,94,6,5.39,5.02,162,5,3,44,1452.0,1590,873,810,219,575,1034,1.491,6.41,1.36,114,142,0.981,27.6,MIL
2002,NL Central,56,106,6,5.07,4.73,162,7,4,32,1432.1,1468,821,752,199,666,1026,1.49,6.45,1.25,103,154,0.983,26.8,MIL
2001,NL Central,68,94,4,4.98,4.64,162,3,8,28,1436.1,1452,806,740,197,667,1057,1.475,6.62,1.23,103,156,0.983,27.3,MIL
2000,NL Central,73,89,3,5.07,4.63,163,2,7,29,1466.1,1501,826,755,174,728,967,1.52,5.94,1.07,118,187,0.981,27.4,MIL
1999,NL Central,74,87,5,5.5,5.07,161,2,5,40,1442.2,1618,886,813,213,616,987,1.549,6.16,1.33,127,146,0.979,28.2,MIL
1998,NL Central,74,88,5,5.01,4.63,162,2,2,39,1451.0,1538,812,746,188,550,1063,1.439,6.59,1.17,110,192,0.982,28.1,MIL
1997,AL Central,78,83,3,4.61,4.22,161,6,8,44,1427.1,1419,742,669,177,542,1016,1.374,6.41,1.12,121,171,0.98,28.3,MIL
1996,AL Central,80,82,3,5.55,5.14,162,6,4,42,1447.1,1570,899,826,213,635,846,1.523,5.26,1.32,134,180,0.978,27.2,MIL
1995,AL Central,65,79,4,5.19,4.82,144,7,4,31,1286.0,1391,747,689,146,603,699,1.551,4.89,1.02,105,186,0.981,27.3,MIL
1994,AL Central,53,62,5,5.1,4.62,115,11,3,23,1036.0,1071,586,532,127,421,577,1.44,5.01,1.1,85,130,0.981,28.3,MIL
1993,AL East,69,93,7,4.89,4.45,162,26,6,29,1447.0,1511,792,716,153,522,810,1.405,5.04,0.95,131,148,0.979,27.3,MIL
1992,AL East,92,70,2,3.73,3.43,162,19,14,39,1457.0,1344,604,556,127,435,793,1.221,4.9,0.78,89,146,0.986,27.5,MIL
1991,AL East,83,79,4,4.59,4.14,162,23,11,41,1463.2,1498,744,674,147,527,859,1.384,5.28,0.9,118,176,0.981,27.0,MIL
1990,AL East,74,88,6,4.69,4.08,162,23,13,42,1445.0,1558,760,655,121,469,771,1.403,4.8,0.75,149,152,0.976,28.6,MIL
1989,AL East,81,81,4,4.19,3.8,162,16,8,45,1432.1,1463,679,604,129,457,812,1.34,5.1,0.81,155,164,0.975,27.9,MIL
1988,AL East,87,75,3,3.8,3.45,162,30,8,51,1449.1,1355,616,555,125,437,832,1.236,5.17,0.78,120,146,0.981,27.2,MIL
1987,AL East,91,71,3,5.04,4.62,162,28,6,45,1464.0,1548,817,752,169,529,1039,1.419,6.39,1.04,145,155,0.976,26.2,MIL
1986,AL East,77,84,6,4.56,4.01,161,29,12,32,1431.2,1478,734,638,158,494,952,1.377,5.98,0.99,146,146,0.976,26.2,MIL
1985,AL East,71,90,6,4.98,4.39,161,34,5,37,1437.0,1510,802,701,175,499,777,1.398,4.87,1.1,142,153,0.977,30.3,MIL
1984,AL East,67,94,7,4.56,4.06,161,13,7,41,1433.0,1532,734,646,137,480,785,1.404,4.93,0.86,136,156,0.978,31.2,MIL
1983,AL East,87,75,5,4.37,4.02,162,35,10,43,1454.0,1513,708,650,133,491,689,1.378,4.26,0.82,113,162,0.982,30.6,MIL
1982,AL East,95,67,1,4.4,3.98,163,34,6,47,1467.1,1514,717,649,152,511,717,1.38,4.4,0.93,125,185,0.98,30.3,MIL
1981,AL East,62,47,1,4.21,3.91,109,11,4,35,986.0,994,459,428,72,352,448,1.365,4.09,0.66,79,135,0.982,29.1,MIL
1980,AL East,86,76,3,4.21,3.71,162,48,14,30,1450.0,1530,682,597,137,420,575,1.345,3.57,0.85,147,189,0.977,27.3,MIL
1979,AL East,95,66,2,4.48,4.03,161,61,12,23,1439.2,1563,722,645,162,381,580,1.35,3.63,1.01,127,153,0.98,26.6,MIL
1978,AL East,93,69,3,4.01,3.65,162,62,19,24,1436.0,1442,650,583,109,398,577,1.281,3.62,0.68,150,144,0.977,25.1,MIL
1977,AL East,67,95,6,4.72,4.32,162,38,6,25,1431.0,1461,765,687,136,566,719,1.416,4.52,0.86,139,165,0.978,24.1,MIL
1976,AL East,66,95,6,4.07,3.64,161,45,10,27,1435.1,1406,655,581,99,567,677,1.375,4.25,0.62,152,160,0.975,26.0,MIL
1975,AL East,68,94,5,4.89,4.34,162,36,10,34,1431.2,1496,792,690,133,624,643,1.481,4.04,0.84,180,162,0.971,25.6,MIL
1974,AL East,76,86,5,4.07,3.76,162,43,11,24,1457.2,1476,660,609,126,493,621,1.351,3.83,0.78,127,168,0.98,26.1,MIL
1973,AL East,74,88,5,4.51,3.98,162,50,11,28,1454.0,1476,731,643,119,623,671,1.444,4.15,0.74,145,167,0.977,26.0,MIL
1972,AL East,65,91,6,3.81,3.45,156,37,14,32,1391.2,1289,595,534,116,486,740,1.275,4.79,0.75,139,145,0.977,25.9,MIL
1971,AL West,69,92,6,3.78,3.38,161,32,23,32,1416.1,1303,609,532,130,569,795,1.322,5.05,0.83,138,152,0.977,26.0,MIL
